gene
RSc2449
RSc1409
RSc2416
RSc2461
RSc2953
RSc2843
RSc2222
d0094
RSc2387
RSc1979
d0055
RSc1021
RSc1984
d0080
RSp0623
e0093
RSc2643
RSp0624
RSc2532
RSc0109
RSp0106
RSc2202
RSc1127
RSc1414
RSc0575
RSc0372
RSc2731
e0265
RSp0621
RSc3303
RSc0687
RSc0913
RSc2881
RSc0574
RSc0413
e0197
RSc2397
RSc2204
RSp0242
RSc0898
RSc1020
RSc1379
RSc0693
RSc2977
RSc2200
RSc0311
RSp0239
RSc2844
RSc0678
RSc0139
d0058
RSc1072
RSc0712
RSc2201
e0090
RSc2828
RSc2193
RSc2550
RSc0345
RS04716
RSc2074
RSc1331
RSc0946
RSc1381
RSc1976
RSc1215
RSp0614
d0133
RSc1126
RSc1387
RSc0357
RSc2846
e0008
RSp1144
d0135
RSc1380
RSc2357
RSc0410
RSc1417
RSc0360
RSc2390
RSc1066
RSp0618
RSc1050
RSc2893
RSc1410
RSc1643
RSc2989
RSc0508
RSc0390
RSc0517
RSc2623
e0002
RSc1382
RSc2155
RSc2396
e0184
RSc2900
RSc2650
RSc2454
RSc1619
RSc2849
RSc2976
RSc1983
e0041
RSc2768
RSc0323
d0218
e0199
RSc0915
RSc2630
RSc1981
RSc0943
RSc2356
RSc1163
RSc0523
RSc2882
RSc0708
RSp1145
RSc2203
RSc2633
RSc1408
RSc2773
RSc0412
RSc1019
RSc2557
RSc1478
RSc2221
RSc1784
RSc0461
RSc0914
RSc0666
d0093
RSc0458
RSc0947
RSc2530
RSc0715
RSc2847
RSc0351
RSc2769
RSp0615
RSc1722
d0091
RSc0111
RSc2347
RSc0157
RSc0100
RSc0409
RSc0411
RSc2905
RSc2391
RSc2823
RSp1293
RSc3374
RSc2848
RSc2628
RSc0688
RSc0714
RSc1319
RSc0903
RSc0689
RSc2457
RSp0620
RSc2448
RSc2837
RSc0686
RSc1038
RSp0020
RSc0266
RSc1049
RSc2842
RSc2110
RSc2417
RSc2686
RSc1644
d0081
RSc2393
e0009
d0092
RSc1039
RSc0322
RSc2442
e0007
RSc0396
RSc0576
RSc0713
RSp0626
RSc2780
RSc2191
RSc1332
RSc0560
RSc1416
RSc1479
RSc2546
e0193
